AttendanceID,MemberID,MatchID,Attended,TicketsUsed,CheckInTime
ATT00001,MEM0001,M001,Yes,2,19:20
ATT00002,MEM0001,M002,Yes,2,18:30
ATT00003,MEM0001,M003,Yes,1,18:50
ATT00004,MEM0001,M004,No,0,
ATT00005,MEM0001,M005,Yes,4,19:50
ATT00006,MEM0001,M006,Yes,4,19:55
ATT00007,MEM0001,M007,Yes,1,18:10
ATT00008,MEM0001,M008,No,0,
ATT00009,MEM0001,M009,Yes,1,20:15
ATT00010,MEM0001,M010,No,0,
ATT00011,MEM0001,M011,Yes,1,19:15
ATT00012,MEM0001,M012,Yes,1,18:15
ATT00013,MEM0001,M013,Yes,4,19:50
ATT00014,MEM0001,M014,No,0,
ATT00015,MEM0001,M015,Yes,2,20:40
ATT00016,MEM0001,M016,Yes,1,20:35
ATT00017,MEM0001,M017,No,0,
ATT00018,MEM0001,M018,Yes,2,18:30
ATT00019,MEM0002,M001,Yes,1,18:05
ATT00020,MEM0002,M002,No,0,
ATT00021,MEM0002,M003,No,0,
ATT00022,MEM0002,M004,Yes,2,19:05
ATT00023,MEM0002,M005,No,0,
ATT00024,MEM0002,M006,Yes,2,20:55
ATT00025,MEM0002,M007,Yes,1,18:20
ATT00026,MEM0002,M008,Yes,2,19:00
ATT00027,MEM0002,M009,No,0,
ATT00028,MEM0002,M010,Yes,2,19:50
ATT00029,MEM0002,M011,No,0,
ATT00030,MEM0002,M012,Yes,2,20:25
ATT00031,MEM0002,M013,No,0,
ATT00032,MEM0002,M014,No,0,
ATT00033,MEM0002,M015,No,0,
ATT00034,MEM0002,M016,No,0,
ATT00035,MEM0002,M017,Yes,2,20:55
ATT00036,MEM0002,M018,Yes,1,19:15
ATT00037,MEM0003,M001,Yes,2,19:05
ATT00038,MEM0003,M002,No,0,
ATT00039,MEM0003,M003,No,0,
ATT00040,MEM0003,M004,Yes,4,20:25
ATT00041,MEM0003,M005,Yes,1,19:05
ATT00042,MEM0003,M006,No,0,
ATT00043,MEM0003,M007,Yes,2,20:30
ATT00044,MEM0003,M008,No,0,
ATT00045,MEM0003,M009,Yes,1,19:30
ATT00046,MEM0003,M010,No,0,
ATT00047,MEM0003,M011,Yes,1,18:50
ATT00048,MEM0003,M012,No,0,
ATT00049,MEM0003,M013,Yes,4,18:50
ATT00050,MEM0003,M014,Yes,1,18:10
ATT00051,MEM0003,M015,No,0,
ATT00052,MEM0003,M016,Yes,1,19:50
ATT00053,MEM0003,M017,Yes,1,19:10
ATT00054,MEM0003,M018,Yes,2,19:15
ATT00055,MEM0004,M001,No,0,
ATT00056,MEM0004,M002,Yes,2,19:50
ATT00057,MEM0004,M003,Yes,4,20:10
ATT00058,MEM0004,M004,No,0,
ATT00059,MEM0004,M005,Yes,2,18:55
ATT00060,MEM0004,M006,No,0,
ATT00061,MEM0004,M007,Yes,4,18:20
ATT00062,MEM0004,M008,No,0,
ATT00063,MEM0004,M009,No,0,
ATT00064,MEM0004,M010,No,0,
ATT00065,MEM0004,M011,Yes,4,18:45
ATT00066,MEM0004,M012,Yes,4,18:00
ATT00067,MEM0004,M013,Yes,4,20:30
ATT00068,MEM0004,M014,No,0,
ATT00069,MEM0004,M015,Yes,4,19:25
ATT00070,MEM0004,M016,No,0,
ATT00071,MEM0004,M017,Yes,4,19:45
ATT00072,MEM0004,M018,No,0,
ATT00073,MEM0005,M001,Yes,1,19:10
ATT00074,MEM0005,M002,Yes,2,19:10
ATT00075,MEM0005,M003,Yes,2,18:25
ATT00076,MEM0005,M004,Yes,1,19:20
ATT00077,MEM0005,M005,Yes,2,19:20
ATT00078,MEM0005,M006,No,0,
ATT00079,MEM0005,M007,No,0,
ATT00080,MEM0005,M008,Yes,1,19:50
ATT00081,MEM0005,M009,Yes,1,18:10
ATT00082,MEM0005,M010,Yes,2,18:55
ATT00083,MEM0005,M011,No,0,
ATT00084,MEM0005,M012,Yes,2,19:55
ATT00085,MEM0005,M013,Yes,1,18:25
ATT00086,MEM0005,M014,Yes,2,18:10
ATT00087,MEM0005,M015,Yes,1,19:00
ATT00088,MEM0005,M016,No,0,
ATT00089,MEM0005,M017,Yes,2,20:05
ATT00090,MEM0005,M018,No,0,
ATT00091,MEM0006,M001,Yes,1,19:05
ATT00092,MEM0006,M002,Yes,1,18:05
ATT00093,MEM0006,M003,Yes,1,19:50
ATT00094,MEM0006,M004,Yes,1,20:45
ATT00095,MEM0006,M005,No,0,
ATT00096,MEM0006,M006,No,0,
ATT00097,MEM0006,M007,Yes,1,20:20
ATT00098,MEM0006,M008,Yes,1,20:05
